"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","MA1","OD1","REM","EQD"
"04301099999","2017-01-03T16:00:00","4","83.65","-33.3666666","4.0","KAP MORRIS JESUP, GL","FM-12","99999","V020","270,1,N,0072,1","99999,9,9,N","999999,9,9,9","-0246,1","-0276,1","10212,1","99999,9,10207,1",,"SYN04204301 46/// /2714 11246 21276 30207 40212=",
"04301099999","2017-01-03T17:00:00","4","83.65","-33.3666666","4.0","KAP MORRIS JESUP, GL","FM-12","99999","V020","280,1,N,0072,1","99999,9,9,N","999999,9,9,9","-0243,1","-0273,1","10209,1","99999,9,10204,1",,"SYN04204301 46/// /2814 11243 21273 30204 40209=",
"04301099999","2017-01-03T18:00:00","4","83.65","-33.3666666","4.0","KAP MORRIS JESUP, GL","FM-12","99999","V020","230,1,N,0021,1","99999,9,9,N","999999,9,9,9","-0246,1","-0274,1","10205,1","99999,9,10200,1",,"SYN04204301 46/// /2304 11246 21274 30200 40205=",
"04301099999","2017-01-03T19:00:00","4","83.65","-33.3666666","4.0","KAP MORRIS JESUP, GL","FM-12","99999","V020","210,1,N,0010,1","99999,9,9,N","999999,9,9,9","-0243,1","-0270,1","10200,1","99999,9,10195,1",,"SYN04204301 46/// /2102 11243 21270 30195 40200=",
"04301099999","2017-01-03T20:00:00","4","83.65","-33.3666666","4.0","KAP MORRIS JESUP, GL","FM-12","99999","V020","140,1,N,0026,1","99999,9,9,N","999999,9,9,9","-0263,1","-0292,1","10190,1","99999,9,10185,1",,"SYN04204301 46/// /1405 11263 21292 30185 40190=",
"04301099999","2017-01-03T21:00:00","4","83.65","-33.3666666","4.0","KAP MORRIS JESUP, GL","FM-12","99999","V020","130,1,N,0031,1","99999,9,9,N","999999,9,9,9","-0245,1","-0275,1","10183,1","99999,9,10178,1",,"SYN04204301 46/// /1306 11245 21275 30178 40183=",
"04301099999","2017-01-03T22:00:00","4","83.65","-33.3666666","4.0","KAP MORRIS JESUP, GL","FM-12","99999","V020","140,1,N,0021,1","99999,9,9,N","999999,9,9,9","-0232,1","-0262,1","10179,1","99999,9,10174,1",,"SYN04204301 46/// /1404 11232 21262 30174 40179=",
"04301099999","2017-01-03T23:00:00","4","83.65","-33.3666666","4.0","KAP MORRIS JESUP, GL","FM-12","99999","V020","130,1,N,0015,1","99999,9,9,N","999999,9,9,9","-0238,1","-0268,1","10173,1","99999,9,10168,1",,"SYN04204301 46/// /1303 11238 21268 30168 40173=",
"04301099999","2017-01-04T00:00:00","4","83.65","-33.3666666","4.0","KAP MORRIS JESUP, GL","FM-12","99999","V020","110,1,N,0010,1","99999,9,9,N","999999,9,9,9","-0230,1","-0259,1","10164,1","99999,9,10159,1",,"SYN04204301 46/// /1102 11230 21259 30159 40164=",
"04301099999","2017-01-04T01:00:00","4","83.65","-33.3666666","4.0","KAP MORRIS JESUP, GL","FM-12","99999","V020","100,1,N,0021,1","99999,9,9,N","999999,9,9,9","-0232,1","-0259,1","10153,1","99999,9,10148,1",,"SYN04204301 46/// /1004 11232 21259 30148 40153=",
